Edad,Género,Estado Civil al momento de ingresar a la Universidad,Nacionalidad,Provincia donde reside,Indique la región de la cual viene,Indique el promedio con el que ingresó a la Universidad,Edad de ingreso a la universidad,Carrera en la que estudia,Puede indicarnos las razones por las cuales usted ingresó a esta carrera,Categorías de las razones de ingreso a carrera,¿Sabía de la carrera antes que entrara a la universidad?,Nivel actual de la carrera,¿Tuvo motivación familiar para ingresar a la carrera?,¿Tiene en su círculo cercano de amistades o conocidos alguien que estudiara una carrera similar o la misma carrera que usted escogió?,¿Tuvo motivación por los profesores de secundaria para escoger la carrera?,Puede indicarnos acerca de factores externos que influyeran en su selección de carrera,Su colegio era:,¿Cuál fue su emoción al ingresar a la carrera?,¿Sabía usted al momento de ingresar a la carrera que existían diferentes oportunidades de becas en la UNA?,¿Tiene actualmente o tuvo una beca universitaria?,¿Usted al ingresar a la universidad estaba trabajando?,Nivel escolar de su madre,Nivel escolar de su padre,¿Cuáles fueron los factores por los cuales ingresó a la UNA?,Categorías de los factores de ingreso a la UNA
19,Hombre,Soltero (a),Costarricense,Heredia,Urbana,669.8,19,Ingeniería en sistemas de la información,"Me llama la atención la tecnología y lo inmenso del mundo del software, además la salida laboral actual es muy llamativa en la variedad de empleos y la remuneración.",Interés personal_Amplia oportunidad laboral_Proyecciones económicas,Sí,Primero,Sí,No,No,Mi familia.,Público Académico (Liceo),Felicidad,Sí,No,No,Secundaria,Secundaria,Búsqueda de un mejor futuro para mí y mi familia a través de lograr volverme profesional.,Oportunidad laboral_Proyecciones económicas
27,Hombre,Soltero (a),Costarricense,San José,Urbana,672,18,Ingeniería en sistemas de la información,"Me gusta ser creativo, la innovación, lo furirista, me gusta aprender constantemente, entre otras cosas.",Otros,Sí,Tercero,Sí,Sí,Si,Ninguno,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad,Entusiasmo",Sí,No,No,Secundaria incompleta,Primaria,"Reconocimiento, factor económico, prestigio, plan de estudios.",Reputación_Factores Económicos_Reputación_Factores Curriculares
22,Hombre,Soltero (a),Costarricense,San José,Urbana,8.9,19,Ingeniería en sistemas de la información,Porque me gusta programar y la seguridad informática,Interés personal_Afinidad con la materia,Sí,Cuarto,Sí,No,Si,,CTP público,"Felicidad,Entusiasmo",Sí,Sí,Sí,Secundaria,Secundaria incompleta,Porque me parece una universidad con bastante reconocimiento a nivel nacional,Reputación
25,Hombre,Soltero (a),Costarricense,San José,Rural,,18,Ingeniería en sistemas de la información,Porque me gusta lo relacionado a la tecnología y sus aplicaciones,Interés personal_Afinidad con la materia,Sí,Tercero,Sí,Sí,No,,CTP público,"Felicidad,Miedo,Ansiedad",Sí,No,No,Secundaria,Secundaria,"Facilidad de transporte, Plan de estudio, Nivel de la Universidad ",Cercanía Geográfica_Factores Curriculares_Reputación
19,Hombre,Soltero (a),Costarricense,Alajuela,Urbana,735,17,Ingeniería en sistemas de la información,Tenía experiencia previa con algunos de los contenidos de la carrera aparte de un gusto personal por la tecnología y como ha evolucionado en el tiempo,Experiencia académica previa_Interés personal_Afinidad con la materia,Sí,Tercero,Sí,Sí,No,Experiencias en algunos temas dadas por mi papá y una buena salida laboral,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,No,Bachillerato Universitario,Secundaria,Poseía desde mi punto de vista un mejor énfasis a lo que me interesaba de la carrera quería estudiar en consideración con mis otras opciones. Aparte habían algunos cursos optativos que me llamaron la atención,Factores Curriculares_Interés personal
19,Hombre,Soltero (a),Costarricense,Heredia,Rural,La nota fue de 770.94,17,Ingeniería en sistemas de la información,Por las oportunidades laborales que ofrece y que la carrera demanda habilidades que se me facilitan aprender,Amplia oportunidad laboral_Afinidad con la materia,Sí,Tercero,No,Sí,Si,"Entre las 3 universidades, socialmente hablando creo que la UNA es la que más puedo disfrutar ",Bilingue,"Ansiedad,Entusiasmo",Sí,No,No,Bachillerato Universitario,Bachillerato Universitario,Porque la UCR y el TEC tienen valores y una comunidad que no me identifica,Otros
19,Hombre,Soltero (a),Costarricense,Heredia,Rural,710,17,Ingeniería en sistemas de la información,"Por la alta demanda laboral, oportunidad de mejorar la calidad de vida.",Amplia oportunidad laboral,No,Tercero,Sí,No,Si,Ya tenía Informática acá como para elegir Computación en la UCR. Entonces me decidí por la UNA.,Científico público,Felicidad,Sí,Sí,No,Primaria incompleta,Primaria,"Prestigio, becas, plan de  estudios; aunque ahora que soy parte de, veo que existe mucho desorden internamente en la escuela.",Reputación_Factores Curriculares
19,Hombre,Soltero (a),Costarricense,Heredia,Urbana,Nota: 740-750 masomenos,17,Ingeniería en sistemas de la información,Porque me gusta y me parece interesante el mundo de la programación,Interés personal,Sí,Tercero,Sí,Sí,Si,Los videojuegos y videos sobre programacion,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,No,Técnico,Secundaria incompleta,Porque estaba la carrera que me interesaba y ademas me dio la nota para poder ingresar,Interés personal_Admisión a la carrera
21,Hombre,Soltero (a),Costarricense,Heredia,Rural,710,17,Ingeniería en sistemas de la información,Por mi interés en la informática,Interés personal,No,Tercero,Sí,Sí,No,,Público Académico (Liceo),Felicidad,Sí,Sí,No,Secundaria incompleta,Primaria,Por la acreditación de la carrera,Otros
20,Hombre,Soltero (a),Costarricense,Heredia,Rural,751,18,Ingeniería en sistemas de la información,"Gran demanda laboral, interés en los temas y teletrabajo",Amplia oportunidad laboral_Interés personal_Opción de teletrabajo,Sí,Tercero,Sí,Sí,Si,Ninguno,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,No,Técnico,Secundaria incompleta,"Cercanía, nota de admisión y gusto por la carrera",Cercanía Geográfica_Admisión a la carrera_Interés personal
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,No recuerdo,18,Ingeniería en sistemas de la información,"Tenía experiencia en la programación y redes por conocimientos empíricos desde noveno del colegio. Solo me gustó, y además que me gusta la mecanografía. Con solo el hecho de mejorar el teclear rápido fue suficiente para querer entrar a la carrera ",Experiencia académica previa,Sí,Tercero,Sí,Sí,No,"Conocimientos básicos previos, conocidos.",Público Académico (Liceo),"Ansiedad,Entusiasmo",Sí,Sí,No,Secundaria incompleta,Secundaria incompleta,Pude entrar a la U por ayudas de gente que conocía a mi mamá antes y el apoyo de mi familia.,Otros
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,742,18,Ingeniería en sistemas de la información,"No sabía que estudiar, saqué un técnico medio en contabilidad, pero no me pareció que era lo que quería hacer, por ende, decidí inclinarme más lo que es la ciencia o tecnología. Estaba entre lo que estoy estudiando o Ingeniería Física en el TEC.",Otros,Sí,Tercero,No,Sí,No,,CTP público,Angustia,Sí,Sí,No,Secundaria incompleta,Licenciatura universitaria.,"Por el plan de estudios de la carrera propiamente, me llamó más la atención, le da un enfoque interesante, ya que uno no se llega a especializar en algo en concreto, queda muy abierto a futuro.",Factores Curriculares_Oportunidad laboral
32,Hombre,Soltero (a),Costarricense,Heredia,Urbana,610,17,Ingeniería en sistemas de la información,Gusto por las computadoras,Interés personal,Sí,Cuarto,Sí,No,No,,Público Académico (Liceo),"Felicidad,Miedo,Entusiasmo",Sí,Sí,No,Secundaria,Licenciatura,"Cercanía, beca, acreditación y buenas referencias.",Cercanía Geográfica_Reputación
20,Hombre,Soltero (a),Costarricense,Cartago,Urbana,686.61,17,Ingeniería en sistemas de la información,"Fue por descarte, entre las alternativas que tenia, era la que más me llamaba la atención.",Otros,No,Tercero,No,No,No,El hecho de como avanza la tecnología.,Público Académico (Liceo),"Miedo,Ansiedad",Sí,Sí,No,Secundaria,Secundaria incompleta,"Porque se me pasaron las fechas del concurso de la UCR, y porque había pagado el arancel para estas dos universidades (UCR/UNA). ",Otros
24,Hombre,Soltero (a),Costarricense,Heredia,Urbana,87,19,Ingeniería en sistemas de la información,Conocimientos previos,Experiencia académica previa,Sí,Cuarto,No,Sí,Si,Previamente tenía conocimientos de programación por el CTP,CTP público,Entusiasmo,Sí,Sí,No,Secundaria incompleta,Secundaria incompleta,Cercanía,Cercanía Geográfica
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,6.3,20,Ingeniería en sistemas de la información,Era un area de mi interés,Interés personal,Sí,Tercero,No,Sí,No,,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad",Sí,Sí,No,Secundaria incompleta,Bachillerato Universitario,Cercanía,Cercanía Geográfica
25,Hombre,Soltero (a),Costarricense,Heredia,Rural,627,19,Ingeniería en sistemas de la información,Interés propio,Interés personal,Sí,Tercero,Sí,No,Si,,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,No,Sí,Primaria,Primaria,Acreditación,Otros
23,Hombre,Soltero (a),Costarricense,Alajuela,Rural,No recuerdo,17,Ingeniería en sistemas de la información,Alta empleabilidad,Amplia oportunidad laboral,Sí,Tercero,No,No,No,"Realmente ninguno, fue meramente por tener un título valioso en el mercado laboral",Bilingue,"Felicidad,Ansiedad",Sí,Sí,No,Primaria,Secundaria,Me quedaba más cerca Heredia. Ir hasta San Pedro a la UCR a estudiar computación con varios énfasis era muy largo para mi,Cercanía Geográfica
20,Hombre,Soltero (a),Costarricense,Heredia,Rural,840,18,Ingeniería en sistemas de la información,Acreditación,Otros,No,Tercero,No,No,No,,CTP público,Ansiedad,Sí,Sí,No,Primaria,Primaria,Ninguno en especial,Otros
20,Mujer,Soltero (a),Costarricense,San José,Urbana,865,17,Ingeniería en sistemas de la información,Expectativas laborales,Otros,No,Tercero,Sí,Sí,No,Motivación familiar,Privado,"Felicidad,Entusiasmo",Sí,No,No,Secundaria,Bachillerato Universitario,No obtuve el puntaje para ingresar en otras universidades,Admisión a la carrera
20,Mujer,Soltero (a),Costarricense,Limón,Rural,792,18,Ingeniería en sistemas de la información,"Desde pequeño tuve acceso a una computadora. Con el tiempo me fui interesando mucho por todo lo que tuviera que ver con el uso de estas. Mi hermano estudio esta misma carrera en otra universidad, y el me contaba sobre ella y que hacia, cosa que se me hizo muy llamativa, por lo que luego se investigar sobre ingeniería en sistemas de información, y así como carreras similares, termine optando por esta opción. ",Interés personal_Recomendaciones,Sí,Tercero,Sí,Sí,No,,Público Académico (Liceo),Entusiasmo,Sí,Sí,No,Primaria,Primaria,"Me interesó el plan de estudios que tenía la carrera, así como las opciones de becas que habían, puesto que sin beca no tenía la posibilidad de costear una universidad privada. Además, es la única U pública que parece tener esta carrera específica. Por otro lado, la ubicación me gustó, esta ubicada muy céntrico, y me gustaba la idea de vivir por mi cuenta fuera de mi lugar de origen. ",Factores Curriculares_Factores Económicos_Interés personal
22,Mujer,Soltero (a),Costarricense,Heredia,Urbana,89.89,19,Ingeniería en sistemas de la información,Interés en el ámbito,Interés personal,No,Tercero,Sí,Sí,No,Dinero,Semiprivado,"Felicidad,Ansiedad,Entusiasmo",No,No,No,Secundaria,Secundaria,No poder pagar una universidad privada pero sobre todo por el prestigio que tiene,Factores Económicos_Reputación
22,Mujer,Soltero (a),Costarricense,Heredia,Urbana,681,17,Ingeniería en sistemas de la información,"Salida laboral, apreciación por la tecnología, gusto por la computadora",Amplia oportunidad laboral_Interés personal,Sí,Tercero,Sí,Sí,Si,Consejo de familia y presión,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad,Entusiasmo",No,Sí,No,Técnico,Secundaria incompleta,"Cercanía, mejor oportunidad de carrera con respecto a otras U.",Cercanía Geográfica
21,Mujer,Soltero (a),Costarricense,Heredia,Urbana,715,17,Ingeniería en sistemas de la información,Me interesó la carrera y no tenía otras opciones,Interés personal_Otros,Sí,Tercero,Sí,Sí,No,Dinero,Semiprivado,"Miedo,Ansiedad,Angustia",No,No,No,Primaria,Bachillerato Universitario,Porque pude entrar,Admisión a la carrera
21,Mujer,Soltero (a),Costarricense,Heredia,Rural,852,19,Ingeniería en sistemas de la información,Lleve cursos de introducción a la informática en la UCR,Experiencia académica previa,Sí,Tercero,No,No,No,Interes y motivación,CTP público,Entusiasmo,Sí,Sí,No,Primaria,Secundaria incompleta,"Ingrese a la UCR a los 18, lleve un curso relacionado a la computación y me interese, entonces decidí matricular la carrera el siguiente año en la UNA",Interés personal
21,Mujer,Soltero (a),Costarricense,Heredia,Rural,809.82,18,Ingeniería en sistemas de la información,Ya que la carrera tiene muchas ramas sabía que iba a encontrar alguna que me interesara.,Otros,Sí,Tercero,Sí,Sí,No,La posibilidad de trabajo,CTP público,Entusiasmo,Sí,No,Sí,Bachillerato Universitario,Secundaria incompleta,Por ser universidad pública,Reputación
20,Mujer,Soltero (a),Costarricense,San José,Urbana,828,17,Ingeniería en sistemas de la información,Pasión por la tecnología,Interés personal,Sí,Tercero,Sí,No,No,,Público Académico (Liceo),"Felicidad,Ansiedad,Entusiasmo",Sí,No,No,Secundaria incompleta,Secundaria,"Era entre las opciones, la que me ofrecia la carrera mas acertada y completa.",Factores Curriculares
24,Mujer,Soltero (a),Costarricense,Heredia,Urbana,,19,Ingeniería en sistemas de la información,Continuación de estudios del Colegio Técnico y porque es la mejor escuela de informática de Costa Rica.,Experiencia académica previa_Otros,Sí,Tercero,Sí,No,No,,CTP público,"Felicidad,Entusiasmo",Sí,Sí,No,Licenciatura Universitaria,Bachillerato Universitario,"Cercanía y porque según me habían comentado, la mejor escuela de informática del país está en la UNA.",Cercanía Geográfica_Reputación
23,Mujer,Soltero (a),Costarricense,Heredia,Rural,,18,Ingeniería en sistemas de la información,siempre me intereso la carrera y deseada aprender mas sobre ella y razones economicas,Interés personal,Sí,Tercero,Sí,Sí,No,,Privado,Entusiasmo,Sí,No,No,Bachillerato Universitario,no lo se,Cercanía y recomendaciones,Cercanía Geográfica_Recomendaciones
19,Mujer,Soltero (a),Costarricense,San José,Urbana,,18,Ingeniería en sistemas de la información,al principio era para poder hacer teletrabajo una vez me graduara pero ahora me esta gustando un poco,Otros_Interés personal,Sí,Primero,Sí,Sí,No,,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad,Entusiasmo,Angustia,Todo lo que se pueda tener",Sí,Sí,Sí,Secundaria,Secundaria,"presentimiento, llevar la contraria a mi madre, me agrado cuando vine a la feria vocacional de 2022",Interés personal
20,Mujer,Soltero (a),Costarricense,San José,Urbana,700,19,Ingeniería en sistemas de la información,"Dinero, oportunidades laborales, poco empleo en otras carreras",Proyecciones económicas_Amplia oportunidad laboral_Otros,No,Primero,No,Sí,No,"Mercado laboral, estado de la economía costarricense",CTP público,"Miedo,Ansiedad,Indiferencia,Estrés",Sí,No,No,Bachillerato Universitario,Bachillerato Universitario,Interés en la carrera,Interés personal
22,Mujer,Soltero (a),Costarricense,Heredia,Rural,No recuerdo,17,Ingeniería en sistemas de la información,Siempre me ha llamado la tecnologia,Interés personal,Sí,Cuarto,Sí,No,Si,,Semiprivado,Felicidad,Sí,Sí,Sí,Secundaria incompleta,Bachillerato Universitario,"No logré ingresar a otra universidad para estudiar lo mismo, y ante diferentes opciones elegí la UNA",Admisión a la carrera_Otros
21,Mujer,Soltero (a),Costarricense,San José,Urbana,8.5,18,Ingeniería en sistemas de la información,Siempre me ha llamado la atención la informática,Interés personal,Sí,Cuarto,Sí,No,No,El dinero y la empleabilidad,Público Académico (Liceo),Ansiedad,Sí,Sí,No,Primaria,Primaria,Para mejorar mi situación económica,Proyecciones económicas
32,Mujer,Soltero (a),Costarricense,Heredia,Urbana,687,18,Ingeniería en sistemas de la información,Porque por medio de la informatica podemos aprender de cualquier otro tema en el mundo,Otros,No,Cuarto,Sí,Sí,No,Mis amigos,Público Académico (Liceo),Ansiedad,No,No,No,Secundaria,Secundaria,Ayudar a mi familia,Proyecciones económicas
23,Mujer,Soltero (a),Costarricense,Heredia,Rural,,18,Ingeniería en sistemas de la información,un futuro mejor,Otros,Sí,Cuarto,Sí,Sí,No,mis primos,Público Académico (Liceo),"Felicidad,Miedo,Ansiedad,Entusiasmo",Sí,Sí,No,Secundaria incompleta,Bachillerato Universitario,familiares y economicos,Factores Económicos
24,Mujer,Soltero (a),Costarricense,San José,Urbana,600,17,Ingeniería en sistemas de la información,Me gusta la computación y la oportunidad de trabajar desde casa que ofrece esta carrera.,Interés personal_Opción de teletrabajo,Sí,Cuarto,Sí,Sí,Si,"Mis gustos por la tecnología, la programación básica que recibí en el colegio, la oportunidad de trabajar desde casa",Semiprivado,"Felicidad,Entusiasmo",No,No,No,Primaria,Secundaria,Soy consciente que es más económico y me gustaba que la carrera está acreditada,Factores Económicos_Reputación
19,Mujer,Soltero (a),Costarricense,Heredia,Urbana,719,18,Ingeniería en sistemas de la información,Previos conocimientos e inclinación a esta carrera,Experiencia académica previa,Sí,Primero,Sí,Sí,Si,,Privado,"Miedo,Ansiedad,Entusiasmo",Sí,No,No,Desconocido,Master,Es la única universidad pública que enseña lo que quería estudiar,Interés personal
28,Mujer,Casado (a),Costarricense,San José,Rural,9,23,Ingeniería en sistemas de la información,Conocía que es una carrera con alta demanda laboral,Amplia oportunidad laboral,Sí,Cuarto,Sí,Sí,No,,Público Académico (Liceo),Miedo,Sí,Sí,No,Primaria,Primaria,Se me dio la oportunidad de que me dieran beca y logre pasar el examen de admisión de la universidad,Admisión a la carrera
18,Mujer,Soltero (a),Costarricense,Heredia,Urbana,95,17,Danza,Porque me gusta como funciona el cuerpo humano y sus distintas formas de expresión,Interés personal,Sí,Segundo,Sí,Sí,Si,Realmente no hubo,Humanístico,"Felicidad,Entusiasmo",Sí,No,No,Bachillerato Universitario,Bachillerato Universitario,Cercanía y tiene las opciones de carrera que me gustan,Cercanía Geográfica_Interés personal
19,Prefiero no decirlo,Soltero (a),Costarricense,San José,Urbana,"puntaje de admision 729, promedio de el colegio 98",19,Ingeniería en sistemas de la información,Por plata,Proyecciones económicas,Sí,Primero,No,Sí,No,No me gustaron en las que quedé en la ucr y la que quería en la UNA la cambié por miedo a no conseguir trabajo </3,Público Académico (Liceo),"Miedo,Angustia,Disgusto,Enojo",Sí,Sí,Sí,Secundaria,Secundaria,"Hay ""mejores oportunidades en la GAM"" y las STEM son las únicas carreras que dejan algo",Proyecciones económicas
28,Prefiero no decirlo,Soltero (a),Costarricense,San José,Rural,,28,Ingeniería en sistemas de la información,Carrera con mucho trabajo y posibilidad de ganar más y trabajar desde casa,Amplia oportunidad laboral_Proyecciones económicas_Opción de teletrabajo,Sí,Primero,No,Sí,No,,CTP público,"Felicidad,Ansiedad",Sí,Sí,No,Secundaria incompleta,Bachillerato Universitario,"Me gustan las universidades públicas, además hay más oportunidades para estudiantes sin posibilidad de pagar una privada",Interés personal